_id,banco,cae,cae_origen,date,dormitorios,escenario_financiamiento,estacionamiento,extractor,fuente,id_registro,integrante,monto,monto_financiado_uf,monto_pie_uf,periodo,pie,plazo_anios,region,timestamp,tipo_inmueble,tipo_interes,tipo_registro,titulo_proyecto,ubicacion_detalle,url_fuente,url_pagina_scrapeada
6a1e2119e7fe73afeef5c124,referencia_cmf,4.4275,,2026-06-02,3,,False,juan,,,,32003.0,,,,20.0,,Valparaiso,2026-06-02T00:15:31,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e1cb7e7fe73afeef5bee7,referencia_cmf,4.4745,,2026-06-01,4,,False,juan,,,,32004.0,,,,20.0,,Valparaiso,2026-06-01T23:57:55,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1fe,referencia_cmf,4.2526,,2026-06-02,3,,True,juan,,,,32111.0,,,,20.0,,Biobio,2026-06-02T00:17:04,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2118e7fe73afeef5c097,referencia_cmf,4.172,,2026-06-02,3,,True,juan,,,,32111.0,,,,20.0,,Metropolitana,2026-06-02T00:14:23,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2118e7fe73afeef5c0a6,referencia_cmf,4.692,,2026-06-02,3,,True,juan,,,,32492.0,,,,20.0,,Metropolitana,2026-06-02T00:14:38,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c196,referencia_cmf,4.1516,,2026-06-02,3,,True,juan,,,,32501.0,,,,20.0,,Biobio,2026-06-02T00:16:26,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e1cb5e7fe73afeef5be1f,referencia_cmf,4.5155,,2026-06-01,3,,True,juan,,,,32501.0,,,,20.0,,Metropolitana,2026-06-01T23:57:14,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0f2,referencia_cmf,4.5496,,2026-06-02,2,,False,juan,,,,32502.0,,,,20.0,,Valparaiso,2026-06-02T00:15:09,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0e5,referencia_cmf,4.2089,,2026-06-02,3,,False,juan,,,,32503.0,,,,20.0,,Valparaiso,2026-06-02T00:15:09,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c110,referencia_cmf,4.3707,,2026-06-02,2,,False,juan,,,,32702.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e1cb7e7fe73afeef5bef9,referencia_cmf,3.9407,,2026-06-01,1,,False,juan,,,,32801.0,,,,20.0,,Valparaiso,2026-06-01T23:57:55,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c144,referencia_cmf,4.6287,,2026-06-02,2,,False,juan,,,,32802.0,,,,20.0,,Valparaiso,2026-06-02T00:15:57,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c131,referencia_cmf,4.1137,,2026-06-02,2,,False,juan,,,,32952.0,,,,20.0,,Valparaiso,2026-06-02T00:15:44,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c13d,referencia_cmf,4.3628,,2026-06-02,2,,False,juan,,,,33002.0,,,,20.0,,Valparaiso,2026-06-02T00:15:44,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0d3,referencia_cmf,4.1883,,2026-06-02,2,,False,juan,,,,33132.0,,,,20.0,,Valparaiso,2026-06-02T00:14:54,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c14b,referencia_cmf,4.0375,,2026-06-02,3,,False,juan,,,,33201.0,,,,20.0,,Biobio,2026-06-02T00:16:13,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c10e,referencia_cmf,4.3153,,2026-06-02,1,,False,juan,,,,33501.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c100,referencia_cmf,4.3944,,2026-06-02,2,,False,juan,,,,33502.0,,,,20.0,,Valparaiso,2026-06-02T00:15:20,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c142,referencia_cmf,4.017,,2026-06-02,3,,False,juan,,,,33503.0,,,,20.0,,Valparaiso,2026-06-02T00:15:57,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1cf,referencia_cmf,4.1924,,2026-06-02,2,,True,juan,,,,33561.0,,,,20.0,,Biobio,2026-06-02T00:16:51,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e1cb6e7fe73afeef5be98,referencia_cmf,4.2582,,2026-06-01,2,,True,juan,,,,33561.0,,,,20.0,,Metropolitana,2026-06-01T23:57:38,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c176,referencia_cmf,4.0175,,2026-06-02,1,,True,juan,,,,33721.0,,,,20.0,,Biobio,2026-06-02T00:16:13,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e1cb5e7fe73afeef5bddd,referencia_cmf,4.3732,,2026-06-01,1,,False,juan,,,,33721.0,,,,20.0,,Metropolitana,2026-06-01T23:56:59,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e1cb7e7fe73afeef5beed,referencia_cmf,4.2143,,2026-06-01,3,,False,juan,,,,34003.0,,,,20.0,,Valparaiso,2026-06-01T23:57:55,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1c7,referencia_cmf,4.529,,2026-06-02,3,,True,juan,,,,34091.0,,,,20.0,,Biobio,2026-06-02T00:16:51,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e1cb6e7fe73afeef5be8a,referencia_cmf,4.2504,,2026-06-01,3,,True,juan,,,,34091.0,,,,20.0,,Metropolitana,2026-06-01T23:57:38,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1d6,referencia_cmf,4.2611,,2026-06-02,3,,True,juan,,,,34191.0,,,,20.0,,Biobio,2026-06-02T00:16:51,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e1cb7e7fe73afeef5bea8,referencia_cmf,4.1373,,2026-06-01,3,,True,juan,,,,34191.0,,,,20.0,,Metropolitana,2026-06-01T23:57:38,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0bc,referencia_cmf,4.181,,2026-06-02,3,,True,juan,,,,34362.0,,,,20.0,,Metropolitana,2026-06-02T00:14:38,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1ed,referencia_cmf,4.4068,,2026-06-02,3,,True,juan,,,,34412.0,,,,20.0,,Biobio,2026-06-02T00:17:04,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2118e7fe73afeef5c086,referencia_cmf,3.9107,,2026-06-02,3,,True,juan,,,,34412.0,,,,20.0,,Metropolitana,2026-06-02T00:14:23,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e211ae7fe73afeef5c1c4,referencia_cmf,4.084,,2026-06-02,2,,True,juan,,,,34501.0,,,,20.0,,Biobio,2026-06-02T00:16:38,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e1cb6e7fe73afeef5be83,referencia_cmf,4.0367,,2026-06-01,2,,False,juan,,,,34501.0,,,,20.0,,Metropolitana,2026-06-01T23:57:27,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c123,referencia_cmf,4.2394,,2026-06-02,3,,False,juan,,,,34503.0,,,,20.0,,Valparaiso,2026-06-02T00:15:31,departamento,fija,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c119,referencia_cmf,4.1002,,2026-06-02,3,,False,juan,,,,34723.0,,,,20.0,,Valparaiso,2026-06-02T00:15:31,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c19b,referencia_cmf,3.9013,,2026-06-02,3,,True,juan,,,,35001.0,,,,20.0,,Biobio,2026-06-02T00:16:26,departamento,variable,,,,https://www.portalinmobiliario.com,
6a1e1cb5e7fe73afeef5be2b,referencia_cmf,4.4705,,2026-06-01,3,,True,juan,,,,35001.0,,,,20.0,,Metropolitana,2026-06-01T23:57:14,departamento,mixta,,,,https://www.portalinmobiliario.com,
6a1e2119e7fe73afeef5c0e0,referencia_cmf,3.9896,,2026-06-02,2,,False,juan,,,,35002.0,,,,20.0,,Valparaiso,2026-06-02T00:15:09,departamento,variable,,,,https://www.portalinmobiliario.com,
